iter	Passed	Remaining
705	5282	2199
706	5289	2192
707	5297	2184
708	5304	2177
709	5311	2169
710	5318	2161
711	5326	2154
712	5333	2146
713	5340	2139
714	5347	2131
715	5354	2123
716	5362	2116
717	5368	2108
718	5376	2101
719	5383	2093
720	5390	2085
721	5397	2078
722	5404	2070
723	5410	2062
724	5417	2054
725	5424	2047
726	5431	2039
727	5438	2032
728	5446	2024
729	5452	2016
730	5460	2009
731	5466	2001
732	5474	1994
733	5480	1986
734	5488	1978
735	5495	1971
736	5501	1963
737	5508	1955
738	5515	1947
739	5522	1940
740	5528	1932
741	5536	1924
742	5542	1917
743	5549	1909
744	5557	1902
745	5564	1894
746	5571	1886
747	5577	1879
748	5584	1871
749	5591	1863
750	5599	1856
751	5606	1848
752	5612	1841
753	5619	1833
754	5626	1825
755	5633	1818
756	5640	1810
757	5648	1803
758	5655	1795
759	5663	1788
760	5670	1780
761	5676	1773
762	5684	1765
763	5690	1757
764	5697	1750
765	5704	1742
766	5711	1734
767	5718	1727
768	5725	1719
769	5732	1712
770	5739	1704
771	5746	1697
772	5753	1689
773	5760	1682
774	5767	1674
775	5774	1666
776	5781	1659
777	5788	1651
778	5795	1644
779	5802	1636
780	5809	1628
781	5816	1621
782	5823	1614
783	5831	1606
784	5837	1598
785	5844	1591
786	5851	1583
787	5858	1576
788	5865	1568
789	5872	1561
790	5879	1553
791	5886	1545
792	5893	1538
793	5900	1530
794	5907	1523
795	5914	1515
796	5921	1508
797	5928	1500
798	5935	1493
799	5942	1485
800	5949	1478
801	5956	1470
802	5964	1463
803	5971	1455
804	5979	1448
805	5986	1440
806	5993	1433
807	6003	1426
808	6018	1421
809	6033	1415
810	6046	1409
811	6060	1403
812	6073	1396
813	6084	1390
814	6094	1383
815	6102	1376
816	6110	1368
817	6117	1361
818	6124	1353
819	6131	1345
820	6139	1338
821	6146	1330
822	6153	1323
823	6160	1315
824	6166	1308
825	6173	1300
826	6180	1292
827	6187	1285
828	6194	1277
829	6201	1270
830	6208	1262
831	6215	1255
832	6223	1247
833	6229	1239
834	6237	1232
835	6244	1224
836	6251	1217
837	6257	1209
838	6264	1202
839	6271	1194
840	6278	1186
841	6285	1179
842	6292	1171
843	6299	1164
844	6306	1156
845	6313	1149
846	6321	1141
847	6327	1134
848	6335	1126
849	6341	1119
850	6350	1111
851	6357	1104
852	6364	1096
853	6371	1089
854	6377	1081
855	6385	1074
856	6392	1066
857	6400	1059
858	6407	1051
859	6415	1044
860	6421	1036
861	6428	1029
862	6435	1021
863	6442	1014
864	6449	1006
865	6455	998
866	6462	991
867	6469	983
868	6476	976
869	6483	968
870	6490	961
871	6498	953
872	6505	946
873	6513	939
874	6520	931
875	6527	923
876	6534	916
877	6541	908
878	6548	901
879	6556	894
880	6562	886
881	6569	878
882	6576	871
883	6583	863
884	6590	856
885	6597	848
886	6604	841
887	6611	833
888	6618	826
889	6625	818
890	6631	811
891	6638	803
892	6646	796
893	6653	788
894	6660	781
895	6666	773
896	6674	766
897	6681	758
898	6688	751
899	6695	743
900	6702	736
901	6709	728
902	6716	721
903	6723	714
904	6730	706
905	6737	699
906	6744	691
907	6752	684
908	6759	676
909	6766	669
910	6773	661
911	6780	654
912	6788	646
913	6794	639
914	6801	631
915	6808	624
916	6815	616
917	6823	609
918	6829	601
919	6837	594
920	6844	587
921	6852	579
922	6859	572
923	6866	564
924	6873	557
925	6880	549
926	6888	542
927	6895	534
928	6903	527
929	6910	520
930	6918	512
931	6924	505
932	6932	497
933	6939	490
934	6946	482
935	6953	475
936	6960	467
937	6967	460
938	6974	453
939	6981	445
940	6988	438
941	6995	430
942	7002	423
943	7009	415
944	7016	408
945	7023	400
946	7031	393
947	7038	386
948	7044	378
949	7052	371
950	7058	363
951	7066	356
952	7073	348
953	7080	341
954	7087	333
955	7094	326
956	7100	319
957	7107	311
958	7115	304
959	7121	296
960	7129	289
961	7135	281
962	7142	274
963	7151	267
964	7158	259
965	7165	252
966	7172	244
967	7179	237
968	7186	229
969	7194	222
970	7201	215
971	7208	207
972	7215	200
973	7222	192
974	7229	185
975	7236	177
976	7243	170
977	7250	163
978	7257	155
979	7264	148
980	7271	140
981	7278	133
982	7285	125
983	7293	118
984	7299	111
985	7307	103
986	7314	96
987	7321	88
988	7328	81
989	7335	74
990	7343	66
991	7349	59
992	7357	51
993	7364	44
994	7371	37
995	7379	29
996	7387	22
997	7394	14
998	7400	7
999	7408	0
